,phrase,prompt,phrase_length,phrase_num_words,mean_word_len,phrase_non_stopwords,cleaned_phrase
40,My skin is very dry and peeling.,Skin issue,32,7,3.7142857142857144,4,skin dry peeling
41,i can't move my shoulder because of pain,Shoulder pain,40,8,4.125,3,shoulder pain
42,when i wake up in the morning i feel dizzy,Feeling dizzy,42,10,3.3,4,wake morning feel dizzy
43,My hair is falling out in huge amount,Hair falling out,37,8,3.75,4,hair falling huge
44,I have a sharp pain in my neck,Neck pain,30,8,2.875,4,sharp pain neck
45,There is pain in the muscles I do not know caused,Muscle pain,49,11,3.5454545454545454,6,pain muscle know caused
46,I have a problem in the expiration because i have abronchial asthma,Hard to breath,67,12,4.666666666666667,5,problem expiration abronchial asthma
47,"Every time I make an effort, I felt dizzy.",Feeling dizzy,42,9,3.7777777777777777,7,time effort felt dizzy
48,I have a powerful pain inside my neck,Neck pain,37,8,3.75,5,powerful pain inside neck
49,I have a pain internal,Internal pain,22,5,3.6,3,pain internal
50,chronic disease of hair follicles and sebaceous glands.,Acne,55,8,6.0,6,chronic disease hair follicle sebaceous gland
51,I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain,65,13,4.076923076923077,8,feel huge emotional pain broke girlfriend
52,When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,66,13,4.153846153846154,9,stand quickly start feel dizzy lightheaded
53,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts,97,21,3.6666666666666665,10,sharp pain chest tell triggering
54,I have a feeling like my whole body is complaining,Joint pain,50,10,4.1,5,feeling like body complaining
55,My knee hurts when I play squash,Knee pain,32,7,3.7142857142857144,6,knee hurt play squash
56,i can't see well,Blurry vision,16,4,3.25,1,
57,I tried alot of cream but i still feel the same skin problem,Skin issue,60,13,3.6923076923076925,7,tried alot cream feel skin problem
58,It feels like someone stuck a knife into my shoulder,Shoulder pain,52,10,4.3,6,feel like stuck knife shoulder
59,I feel a burning sensation in my shoulder muscle.,Muscle pain,49,9,4.555555555555555,6,feel burning sensation shoulder muscle
60,I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound,73,18,3.111111111111111,10,cut foot pool break open day walk
61,My knee catches and hurts when I first stand up after sitting.,Knee pain,62,12,4.25,7,knee catch hurt stand sitting
62,I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound,109,22,4.0,12,cut hand couple week ago antibiotic cream getting better
63,I feel pain in my shoulders when I write on the keyboard.,Shoulder pain,57,12,3.8333333333333335,7,feel pain shoulder write keyboard
64,i have a problem in seeing objects it is too difficult to see,Blurry vision,61,13,3.769230769230769,4,problem seeing object difficult
65,glass broken and wound my leg badly the wound is so wide,Open wound,56,12,3.75,7,glass broken wound leg badly wound wide
66,"I have a blurry vision during my swimming training in the pool, why?",Blurry vision,68,13,4.3076923076923075,7,blurry vision swimming training pool
67,I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,77,17,3.588235294117647,8,love walk outside bottom foot sore quickly
68,I feel pain in my knee when I climb the stairs.,Joint pain,47,11,3.3636363636363638,7,feel pain knee climb stair
69,"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,68,15,3.6,7,tired fast barely clothes morning
70,My knee hurts when I walk,Knee pain,25,6,3.3333333333333335,5,knee hurt walk
71,i can't rotate my neck,Neck pain,22,5,3.6,3,rotate neck
72,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,105,21,4.0476190476190474,11,son nicked neck old razor spot inflamed look like infected
73,i have a problem in my back i cannot extend it,Back pain,46,11,3.272727272727273,2,problem extend
74,I can't walk because i have a great foot ache,Foot ache,45,10,3.6,6,walk great foot ache
75,My heart is beating fast and it scares me.,Heart hurts,42,9,3.7777777777777777,6,heart beating fast scare
76,I used to have acne when I was 15 years old,Acne,43,11,3.0,6,acne year old
77,My muscles in my lower back are aching.,Muscle pain,39,8,4.0,4,muscle lower aching
78,My shoulder muscle hurts when I try to reach up.,Muscle pain,48,10,3.9,8,shoulder muscle hurt try reach
79,I feel heart pain when I walk a lot,Heart hurts,35,9,3.0,7,feel heart pain walk lot
80,My hair is falling out in huge amount,Hair falling out,37,8,3.75,4,hair falling huge
81,I feel a pain in my back,Back pain,24,7,2.5714285714285716,3,feel pain
82,My skin is itchy and inflamed,Skin issue,29,6,4.0,4,skin itchy inflamed
83,i can't see well,Blurry vision,16,4,3.25,1,
84,I have a cold and it makes me cough alot,Cough,40,10,3.1,5,cold make cough alot
85,I have a dry throat,Cough,19,5,3.0,3,dry throat
86,I'm not hearing well I have problem with my ear,Ear ache,47,10,3.8,5,hearing problem ear
87,My foot is hurting so much.,Foot ache,27,6,3.6666666666666665,4,foot hurting
88,My shower drain is full of hair every time.,Hair falling out,43,9,3.888888888888889,5,shower drain hair time
89,I have front head pain and when I get it the light bothers me.,Head ache,62,14,3.5,7,head pain light bother
90,Even though I'm an adult my face keeps breaking out in pimples.,Acne,63,12,4.333333333333333,7,adult face keep breaking pimple
91,When I get out of bed in the morning my body feels very weak.,Body feels weak,61,14,3.4285714285714284,7,bed morning body feel weak
92,My knee catches and hurts when I first stand up after sitting.,Knee pain,62,12,4.25,7,knee catch hurt stand sitting
93,"surgical wounds red, firing pus, painful and hot to the touch",Infected wound,61,11,4.636363636363637,8,surgical wound red firing pu painful hot touch
94,Feel like something is being jabbed into my joints,Joint pain,50,9,4.666666666666667,4,feel like jabbed joint
95,The arches of my feet hurt when I wear heels,Foot ache,44,10,3.5,7,arch foot hurt wear heel
96,I feel pain in the lower back,Back pain,29,7,3.2857142857142856,4,feel pain lower
97,I have a dull ache in my head,Head ache,29,8,2.75,4,dull ache head
98,The arches of my feet hurt when I wear heels,Foot ache,44,10,3.5,7,arch foot hurt wear heel
99,I feel a pain in my neck,Neck pain,24,7,2.5714285714285716,4,feel pain neck
100,I have a sharp pain in my neck,Neck pain,30,8,2.875,4,sharp pain neck
101,i have pain but i can't specify place,Internal pain,37,8,3.75,4,pain specify place
102,I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache,112,23,3.8260869565217392,12,ear ache away cold headache symptom earache
103,I have cloudy eyes,Blurry vision,18,4,3.75,3,cloudy eye
104,I feel joint pain every time I move,Joint pain,35,8,3.5,6,feel joint pain time
105,i have a hard pain in my stomach,Stomach ache,32,8,3.125,3,hard pain stomach
106,"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache,79,17,3.7058823529411766,10,left ear right feel like stabbed nail
107,I need a kind of cream wich make my muscles more relaxed,Muscle pain,56,12,3.75,7,need kind cream wich muscle relaxed
108,I have a back pain since I fell on the floor.,Back pain,45,11,3.1818181818181817,5,pain fell floor
109,I feel lightheaded,Feeling dizzy,18,3,5.333333333333333,3,feel lightheaded
110,My body aches on the inside between my hips and shoulders.,Internal pain,58,11,4.363636363636363,6,body ache inside hip shoulder
111,I have a foot ache after running 500m with my running shoes.,Foot ache,60,12,4.083333333333333,7,foot ache running running shoe
112,"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold.",Feeling cold,83,13,5.384615384615385,8,diagnosed anemia explains felt cold
113,"i feel hurt, lot of pain in my heart",Emotional pain,36,9,3.111111111111111,5,feel hurt lot pain heart
114,I read a book for along time and when I finished reading I feel head ache,Head ache,73,16,3.625,11,read book time finished reading feel head ache
115,I break out on my face very frequently,Acne,38,8,3.875,4,break face frequently
116,I have tried to relief it but I can't,Body feels weak,37,9,3.2222222222222223,5,tried relief
117,I stopped sports because I get Injury from sports,Injury from sports,49,9,4.555555555555555,6,stopped sport injury sport
118,Every time I take a deep breath I start coughing,Cough,48,10,3.9,8,time deep breath start coughing
119,when i extend my leg there is pain in knee joint,Joint pain,48,11,3.4545454545454546,5,extend leg pain knee joint
120,my head hurts me badly,Head ache,22,5,3.6,3,head hurt badly
121,when i was washing my hair it was falling out heavily,Hair falling out,53,11,3.909090909090909,4,washing hair falling heavily
122,I hate my acne.,Acne,15,4,3.0,3,hate acne
123,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,105,21,4.0476190476190474,11,son nicked neck old razor spot inflamed look like infected
124,i have pain like needles in my joints.,Joint pain,38,8,3.875,4,pain like needle joint
125,i have a great pain in my thorax from heart injury,Heart hurts,50,11,3.6363636363636362,5,great pain thorax heart injury
126,I don't know why I'm constantly sad.,Emotional pain,36,7,4.285714285714286,6,know constantly sad
127,i feel pain in my neck,Neck pain,22,6,2.8333333333333335,3,feel pain neck
128,My muscles feel tired,Body feels weak,21,4,4.5,4,muscle feel tired
129,I tried to put my glasses to see more clear but cant find any change,Blurry vision,68,15,3.6,7,tried glass clear cant find change
130,i feel pain in my stomach,Stomach ache,25,6,3.3333333333333335,3,feel pain stomach
131,The arches of my feet hurt when I wear heels,Foot ache,44,10,3.5,7,arch foot hurt wear heel
132,"I have a foot ache in winter, or when it feels cold, why?",Foot ache,57,13,3.4615384615384617,7,foot ache winter feel cold
133,My back is hurting so much.,Back pain,27,6,3.6666666666666665,3,hurting
134,The pain feels like it's right below the skin,Muscle pain,45,9,4.111111111111111,7,pain feel like right skin
135,"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain,102,21,3.9047619047619047,13,struggling bear weight knee stand straight feel hear loud popping noise
136,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,96,21,3.619047619047619,11,sharp pain bicep tried apply pain relief cream help
137,I have a pain internal,Internal pain,22,5,3.6,3,pain internal
138,"my child has cough all night, she can't sleep",Cough,45,9,4.111111111111111,5,child cough night sleep
139,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy,100,21,3.8095238095238093,11,feel dizzy set infront laptop hour possibly reason
140,When I play sports  I have some burning sensation in my spine,Back pain,61,12,4.083333333333333,8,play sport burning sensation spine
141,I have a hard muscle pain since i went to the gym,Muscle pain,49,12,3.1666666666666665,6,hard muscle pain went gym
142,my hair falling out,Hair falling out,19,4,4.0,2,hair falling
143,I feel joint pain every time I move,Joint pain,35,8,3.5,6,feel joint pain time
144,I feel aching on my insides.,Internal pain,28,6,3.8333333333333335,4,feel aching inside
145,I have this strange rash on my arm.,Skin issue,35,8,3.5,4,strange rash arm
146,My face break out badly every month around my cycle.,Acne,52,10,4.3,6,face break badly month cycle
147,I have a lot of mucus when I cough.,Cough,35,9,3.0,5,lot mucus cough
148,i'm disappointed,Emotional pain,16,2,7.5,2,disappointed
149,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache,106,21,4.0476190476190474,11,stomach ache eat able pinpoint food trigger
150,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy,100,21,3.8095238095238093,11,feel dizzy set infront laptop hour possibly reason
151,I was playing soccer and I twisted my ankle,Injury from sports,43,9,3.888888888888889,6,playing soccer twisted ankle
152,My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound,95,20,3.8,10,son squeezed pimple broke open scab look like infected
153,I feel so sore in my stomach area.,Stomach ache,34,8,3.375,5,feel sore stomach area
154,i have shoulder pain after doing any home work.,Shoulder pain,47,9,4.333333333333333,4,shoulder pain home work
155,"laceration, rupture or opening in the skin",Open wound,42,7,5.142857142857143,4,laceration rupture opening skin
156,I can't carry anything I have a pain in my shoulder,Shoulder pain,51,11,3.727272727272727,6,carry pain shoulder
157,How do you know if you have a torn meniscus in your knee?,Knee pain,57,13,3.4615384615384617,5,know torn meniscus knee
158,My head gets dizzy when I try to get up.,Feeling dizzy,40,10,3.1,7,head get dizzy try
159,I feel pain when parting loved ones,Emotional pain,35,7,4.142857142857143,6,feel pain parting loved one
160,I think my wound is infected,Infected wound,28,6,3.8333333333333335,4,think wound infected
161,i feel dizzy after severe diarrhea,Feeling dizzy,34,6,4.833333333333333,4,feel dizzy severe diarrhea
162,there is a red stain in my skin,Skin issue,31,8,3.0,3,red stain skin
163,"i can't walk, my knee hurts me",Knee pain,30,7,3.4285714285714284,4,walk knee hurt
164,I feel a pain in my back,Back pain,24,7,2.5714285714285716,3,feel pain
165,My body feels weak and I tried to make it relax but it stills pain me,Body feels weak,69,16,3.375,9,body feel weak tried relax still pain
166,I feel increased heart rate with prick,Heart hurts,38,7,4.571428571428571,6,feel increased heart rate prick
167,My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,Infected wound,98,21,3.7142857142857144,10,grandson cut foot seashell ocean foot turning gray puffy
168,I feel increased heart rate with prick,Heart hurts,38,7,4.571428571428571,6,feel increased heart rate prick
169,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache,120,21,4.761904761904762,13,worst headache hangover twenty sincerely thought going die brain inflammation
170,i have a problem in my middle ear made by infection,Ear ache,51,11,3.727272727272727,4,problem middle ear infection
171,My television and computer seem out of focus even though I have new glasses.,Blurry vision,76,14,4.5,7,television computer focus new glass
172,I have a break in the skin between my thumb and index finger and it will not close.,Open wound,83,18,3.6666666666666665,7,break skin thumb index finger close
173,When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out,73,16,3.625,11,brush hair notice big clump hair coming brush
174,I feel pain in the knee when walking,Knee pain,36,8,3.625,5,feel pain knee walking
175,I'm not feeling good I can't take my breath,Hard to breath,43,9,3.888888888888889,6,feeling good breath
176,i can't move my shoulder because of pain,Shoulder pain,40,8,4.125,3,shoulder pain
177,I feel pain inside and I can not identify it,Internal pain,44,10,3.5,6,feel pain inside identify
178,I have an indigestion,Stomach ache,21,4,4.5,2,indigestion
179,I m feeling cold though the temperature is high,Feeling cold,47,9,4.333333333333333,6,feeling cold temperature high
180,My body feels weak although I take my vitamins regularly.,Body feels weak,57,10,4.8,7,body feel weak vitamin regularly
181,i feel pain in my body,Internal pain,22,6,2.8333333333333335,3,feel pain body
182,"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.",Knee pain,109,20,4.5,11,pain intense especially stair feel like snapped inside knee
183,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy,100,21,3.8095238095238093,11,feel dizzy set infront laptop hour possibly reason
184,I get an ear ache when it is cold,Ear ache,33,9,2.7777777777777777,4,ear ache cold
185,My joints feel swollen,Joint pain,22,4,4.75,4,joint feel swollen
186,When I stand I feel dizzy I do not know why,Feeling dizzy,43,11,3.0,8,stand feel dizzy know
187,I feel lightheaded,Feeling dizzy,18,3,5.333333333333333,3,feel lightheaded
188,My lower back hurts but it improves if I stretch it,Muscle pain,51,11,3.727272727272727,6,lower hurt improves stretch
189,I got acne when I ate chili,Acne,27,7,3.0,6,got acne ate chili
190,I could not exercise because of my knee pain,Knee pain,44,9,4.0,4,exercise knee pain
191,I'm not hearing well I have problem with my ear,Ear ache,47,10,3.8,5,hearing problem ear
192,A terrible fall in hair,Hair falling out,23,5,3.8,4,terrible fall hair
193,my ear hurts me badly,Ear ache,21,5,3.4,3,ear hurt badly
194,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,106,22,3.8636363636363638,10,son root canal dentist accidentally cut inside cheek heal
195,heart aches so much,Heart hurts,19,4,4.0,2,heart ache
196,My throught is so sore.,Neck pain,23,5,3.8,3,throught sore
197,The pain in my ear is unbearable.,Ear ache,33,7,3.857142857142857,4,pain ear unbearable
198,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound,120,24,4.041666666666667,10,daughter eyebrow threaded pulled opening skin brow puffy oozing
199,Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,74,13,4.769230769230769,7,chronic bone disease level double lower estremidades
200,My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain,68,15,3.6,10,knee hurt bad walk stay sitting
201,I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,96,21,3.619047619047619,11,got divorce year stop dwelling revenge husband
202,My kneecap feels like it is grating bone on bone when I walk.,Knee pain,61,13,3.769230769230769,9,kneecap feel like grating bone bone walk
203,I feel suicidal.,Emotional pain,16,3,4.666666666666667,3,feel suicidal
204,I feel pain in my joint after an injury in the last football match I played.,Joint pain,76,16,3.8125,9,feel pain joint injury football match played
205,I feel dizzy whenever I stand up.,Feeling dizzy,33,7,3.857142857142857,6,feel dizzy stand
206,"Annoyance starts suddenly, often after an injury or exercise.",Knee pain,61,9,5.888888888888889,5,annoyance start suddenly injury exercise
207,I feel pain in my eyes I can see fog,Blurry vision,36,10,2.7,6,feel pain eye fog
208,Can't keep focus,Head ache,16,3,4.666666666666667,2,focus
209,I feel fluid trying to come up when I cough.,Cough,44,10,3.5,7,feel fluid trying come cough
210,"My skin color on my back is red, I don't know why.",Skin issue,50,12,3.25,8,skin color red know
211,"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache,79,17,3.7058823529411766,10,left ear right feel like stabbed nail
212,I'm suffering from sharp cough Accompanied by  phlegm,Cough,53,8,5.625,6,suffering sharp cough accompanied phlegm
213,"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain,78,14,4.642857142857143,8,shoulder like lightning sent shoulder
214,I feel a tightness in my chest,Hard to breath,30,7,3.4285714285714284,4,feel tightness chest
215,My chest hurts when I smoke,Internal pain,27,6,3.6666666666666665,5,chest hurt smoke
216,I have a foot ache although I don't walk a lot.,Foot ache,47,11,3.3636363636363638,7,foot ache walk lot
217,i feel pain in my foot,Foot ache,22,6,2.8333333333333335,3,feel pain foot
218,I have a feeling like my whole body is complaining,Joint pain,50,10,4.1,5,feeling like body complaining
219,I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports,79,14,4.642857142857143,9,collision playing soccer knee buckled unstable
220,My acne gets worse when it is hot,Acne,33,8,3.25,5,acne get worse hot
221,I usually have a bad cough when I get flu.,Cough,42,10,3.3,6,usually bad cough flu
222,"i was playing basketball yesterday, i have sprained ankle",Injury from sports,57,9,5.444444444444445,5,playing basketball yesterday sprained ankle
223,My chest break out with red pimples and whiteheads.,Acne,51,9,4.777777777777778,6,chest break red pimple whitehead
224,itch at front and center of scalp,Hair falling out,33,7,3.857142857142857,3,itch center scalp
225,I feel pain in the lower back,Back pain,29,7,3.2857142857142856,4,feel pain lower
226,I have a dull ache in my head,Head ache,29,8,2.75,4,dull ache head
227,I get an ear ache when it is cold,Ear ache,33,9,2.7777777777777777,4,ear ache cold
228,I get breakouts on my chest with red patches that get more intense when i get hot.,Acne,82,17,3.8823529411764706,7,breakout chest red patch intense hot
229,i can't ride my car at night because i have blurry vision.,Blurry vision,58,12,3.9166666666666665,6,ride car night blurry vision
230,I feel pain in the knee,Knee pain,23,6,3.0,4,feel pain knee
231,I can't stand with this horrible feeling in my stomach,Stomach ache,54,10,4.5,6,stand horrible feeling stomach
232,"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,68,15,3.6,7,tired fast barely clothes morning
233,When I tried to be warm and wear more clothes I found that I was still cold,Feeling cold,75,17,3.4705882352941178,10,tried warm wear clothes found cold
234,my ankle is hurting me,Joint pain,22,5,3.6,2,ankle hurting
235,My knee is hurting so badly.,Joint pain,28,6,3.8333333333333335,4,knee hurting badly
236,fell skull is cracked like nuts,Head ache,31,6,4.333333333333333,5,fell skull cracked like nut
237,It is like I have a needle pushing through my heart.,Heart hurts,52,11,3.8181818181818183,6,like needle pushing heart
238,My chest acne breaks out and never clears up.,Acne,45,9,4.111111111111111,6,chest acne break clear
239,my hair isn't well,Hair falling out,18,4,3.75,2,hair
240,It feels like someone stuck a knife into my shoulder,Shoulder pain,52,10,4.3,6,feel like stuck knife shoulder
241,I feel a great amount of pressure of my head.,Head ache,45,10,3.6,5,feel great pressure head
242,my hand open wound got infected,Infected wound,31,6,4.333333333333333,5,hand open wound got infected
243,I feel great pressure in my chest,Hard to breath,33,7,3.857142857142857,5,feel great pressure chest
244,I'm not feeling good I can't take my breath,Hard to breath,43,9,3.888888888888889,6,feeling good breath
245,i feel that it's hard to breath for me specially after running or making any effort,Hard to breath,83,16,4.25,8,feel hard breath specially running making effort
246,I have an open wound in my arm,Open wound,30,8,2.875,4,open wound arm
247,i cant sleep because of cough,Cough,29,6,4.0,3,cant sleep cough
248,"It is hard to breath when I am in the underground metro station, why?",Hard to breath,69,14,4.0,8,hard breath underground metro station
249,I break out on my face very frequently,Acne,38,8,3.875,4,break face frequently
250,"can't do any exercise, i feel weak",Body feels weak,34,7,4.0,4,exercise feel weak
251,My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain,68,15,3.6,10,knee hurt bad walk stay sitting
252,My shoulder muscle hurts when I try to reach up.,Muscle pain,48,10,3.9,8,shoulder muscle hurt try reach
253,I'm very worried that I'll go bald soon. Am I very sick?,Hair falling out,56,12,3.75,8,worried bald soon sick
254,i feel that is great pain in my left shoulder,Shoulder pain,45,10,3.6,5,feel great pain left shoulder
255,I feel pain inside and I can not identify it,Internal pain,44,10,3.5,6,feel pain inside identify
256,I feel a pain in my back,Back pain,24,7,2.5714285714285716,3,feel pain
257,Is there a cure for acne?,Acne,25,6,3.3333333333333335,3,cure acne
258,I have a pain in my muscle,Muscle pain,26,7,2.857142857142857,3,pain muscle
259,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,96,21,3.619047619047619,11,sharp pain bicep tried apply pain relief cream help
260,I feel sad like hurt or pain,Emotional pain,28,7,3.142857142857143,6,feel sad like hurt pain
261,My body feels weak although I take my vitamins regularly.,Body feels weak,57,10,4.8,7,body feel weak vitamin regularly
262,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache,120,21,4.761904761904762,13,worst headache hangover twenty sincerely thought going die brain inflammation
263,I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue,84,18,3.7222222222222223,9,found issue skin tried use cream better
264,I have a red rash that is itchy on my skin,Skin issue,42,11,2.909090909090909,5,red rash itchy skin
265,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,106,22,3.8636363636363638,10,son root canal dentist accidentally cut inside cheek heal
266,I feel pain in my neck after waking up,Neck pain,38,9,3.3333333333333335,5,feel pain neck waking
267,My neck has been sore since the accident.,Neck pain,41,8,4.25,4,neck sore accident
268,"i feel hurt, lot of pain in my heart",Emotional pain,36,9,3.111111111111111,5,feel hurt lot pain heart
269,I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,96,21,3.619047619047619,11,got divorce year stop dwelling revenge husband
270,"It is hard to breath when I am in the underground metro station, why?",Hard to breath,69,14,4.0,8,hard breath underground metro station
271,I have a dull ache in my head,Head ache,29,8,2.75,4,dull ache head
272,"I feel a pain on the left side of my chest, where my heart is",Heart hurts,61,15,3.1333333333333333,6,feel pain left chest heart
273,When I wake up I am feeling cold,Feeling cold,32,8,3.125,6,wake feeling cold
274,there is acne on my face,Acne,24,6,3.1666666666666665,2,acne face
275,I'm not good i'm feeling so cold,Feeling cold,32,7,3.7142857142857144,5,good feeling cold
276,I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.,Open wound,101,20,4.1,10,chopped tip finger cutting cardboard stop bleeding
277,"It's hard to stand up, and I'm moving very slowly",Body feels weak,49,10,4.0,7,hard stand moving slowly
278,There is so much pain when I move my arm.,Shoulder pain,41,10,3.2,4,pain arm
279,I read a book for along time and when I finished reading I feel head ache,Head ache,73,16,3.625,11,read book time finished reading feel head ache
280,I lose a lot of my hair,Hair falling out,23,7,2.4285714285714284,4,lose lot hair
281,i have injured myself during the soccer match,Injury from sports,45,8,4.75,3,injured soccer match
282,My television and computer seem out of focus even though I have new glasses.,Blurry vision,76,14,4.5,7,television computer focus new glass
283,When I wake up in the morning I feel a soreness in my body,Muscle pain,58,14,3.2142857142857144,8,wake morning feel soreness body
284,I feel a great amount of pressure of my head.,Head ache,45,10,3.6,5,feel great pressure head
